from_currency,to_currency,cost_unit
USD,ADF,0.1672
USD,ADP,0.00659
USD,AED,0.2723
USD,AFN,0.01521
USD,ALL,0.008055
USD,AMD,0.002107
USD,ANG,0.565
USD,AOA,0.006058
USD,AON,0.006058
USD,ARS,0.06597
USD,ATS,0.07969
USD,AUD,0.7604
USD,AWG,0.5587
USD,AZM,0.0001221
USD,AZN,0.6105
USD,BAM,0.5607
USD,BBD,0.5
USD,BDT,0.01277
USD,BEF,0.02718
USD,BGN,0.5635
USD,BHD,2.6699
USD,BIF,0.000601
USD,BMD,1
USD,BND,0.7184
USD,BOB,0.1456
USD,BRL,0.3127
USD,BSD,1
USD,BTN,0.01496
USD,BWP,0.097
USD,BYR,4.995e-05
USD,BZD,0.5051
USD,CAD,0.7461
USD,CDF,0.0009891
USD,CHF,1.0116
USD,CLP,0.001533
USD,CNY,0.1476
USD,COP,0.0003334
USD,CRC,0.001827
USD,CUC,1
USD,CUP,0.045
USD,CVE,0.00995
USD,CYP,1.8735
USD,CZK,0.04061
USD,DEM,0.5606
USD,DJF,0.005654
USD,DKK,0.1474
USD,DOP,0.02173
USD,DZD,0.00912
USD,ECS,4.15e-05
USD,EEK,0.07008
USD,EGP,0.1129
USD,ESP,0.00659
USD,ETB,0.04515
USD,EUR,1.0965
USD,FIM,0.1844
USD,FJD,0.4929
USD,FKP,1.2236
USD,FRF,0.1672
USD,GBP,1.2191
USD,GEL,0.4151
USD,GHC,2.515e-05
USD,GHS,0.2515
USD,GIP,1.2236
USD,GMD,0.02365
USD,GNF,0.0001105
USD,GRD,0.003218
USD,GTQ,0.1331
USD,GYD,0.005083
USD,HKD,0.129
USD,HNL,0.04444
USD,HRK,0.1461
USD,HTG,0.01582
USD,HUF,0.003549
USD,IDR,7.74e-05
USD,IEP,1.3923
USD,ILS,0.2609
USD,INR,0.015
USD,IQD,0.0008729
USD,IRR,3.328e-05
USD,ISK,0.008882
USD,ITL,0.0005663
USD,JMD,0.007735
USD,JOD,1.413
USD,JPY,0.009536
USD,KES,0.01003
USD,KGS,0.01456
USD,KHR,0.0002483
USD,KMF,0.002281
USD,KPW,0.007407
USD,KRW,0.0008803
USD,KWD,3.3113
USD,KYD,1.2293
USD,KZT,0.002981
USD,LAK,0.0001229
USD,LBP,0.0006638
USD,LKR,0.006768
USD,LRD,0.01111
USD,LSL,0.073291
USD,LTL,0.3176
USD,LUF,0.02718
USD,LVL,1.5602
USD,LYD,0.7135
USD,MAD,0.1015
USD,MDL,0.05
USD,MGA,0.0003137
USD,MGF,0.0001093
USD,MKD,0.01786
USD,MMK,0.0007776
USD,MNT,0.0004239
USD,MOP,0.1285
USD,MRO,0.002817
USD,MTL,2.5541
USD,MUR,0.028
USD,MVR,0.06623
USD,MWK,0.001404
USD,MXN,0.05281
USD,MYR,0.2385
USD,MZM,1.299e-05
USD,MZN,0.01299
USD,NAD,0.073291
USD,NGN,0.003284
USD,NIO,0.03438
USD,NLG,0.4976
USD,NOK,0.1211
USD,NPR,0.009368
USD,NZD,0.7152
USD,OMR,2.5974
USD,PAB,1
USD,PEN,0.2974
USD,PGK,0.3222
USD,PHP,0.02064
USD,PKR,0.009545
USD,PLN,0.2536
USD,PTE,0.005469
USD,PYG,0.0001751
USD,QAR,0.2746
USD,ROL,2.436e-05
USD,RON,0.2436
USD,RSD,0.008938
USD,RUB,0.01587
USD,RWF,0.001231
USD,SAR,0.2668
USD,SBD,0.1275
USD,SCR,0.07586
USD,SDD,0.001576
USD,SDG,0.1576
USD,SDP,0.0004423
USD,SEK,0.1109
USD,SGD,0.7184
USD,SHP,1.8744
USD,SIT,0.004576
USD,SKK,0.0364
USD,SLL,0.0001786
USD,SOS,0.001799
USD,SRD,0.146
USD,SRG,0.000146
USD,STD,4.454e-05
USD,SVC,0.1147
USD,SYP,0.004661
USD,SZL,0.073291
USD,THB,0.0286
USD,TJS,0.127
USD,TMM,5.7e-05
USD,TMT,0.2857
USD,TND,0.4441
USD,TOP,0.4458
USD,TRL,3.222e-07
USD,TRY,0.3222
USD,TTD,0.1497
USD,TWD,0.03167
USD,TZS,0.0004587
USD,UAH,0.03922
USD,UGX,0.0002929
USD,USD,1
USD,UYU,0.03524
USD,UZS,0.0003225
USD,VEB,0.0001003
USD,VEF,0.1003
USD,VND,4.48e-05
USD,VUV,0.009526
USD,WST,0.3951
USD,XAF,0.001674
USD,XAG,17.8532
USD,XAU,1275.81
USD,XCD,0.372
USD,XEU,1.0965
USD,XOF,0.001669
USD,XPD,624
USD,XPF,0.009255
USD,XPT,983.5
USD,YER,0.004001
USD,YUN,0.008938
USD,ZAR,0.07329
USD,ZMK,0.0001932
USD,ZMW,0.1037
USD,ZWD,0.002679
