ISIN,Name,Ccy,Type,Duration,Weight,AssetCategory,AssetClass,SubAssetClass
LI0015327682,LGT Money Market Fund (CHF) - B,CHF,Fund,,0.0300,Cash,CHF,
LI0214880598,CS (Lie) Money Market Fund EUR EB,EUR,Fund,,0.0600,Cash,EUR,
LI0214880689,CS (Lie) Money Market Fund USD EB,USD,Fund,,0.0200,Cash,USD,
LU0243957825,Invesco Euro Corporate Bond A EUR Acc,EUR,Fund,5.1,0.1200,Fixed Income,EUR,Sov. and Corp. Bonds
LU0408877412,JPM Euro Gov Sh. Duration Bd A (acc)-EUR,EUR,Fund,2.45,0.0650,Fixed Income,EUR,Sov. and Corp. Bonds
LU0376989207,Aberdeen Global Sel Emerg Mkt Bd A2 HEUR,EUR,Fund,6.8,0.0300,Fixed Income,EUR,Em. Mkts Bonds
GB00B42R2118,Threadneedle European High Yield Bond Ret Grs EUR,EUR,Fund,3.4,0.0450,Fixed Income,EUR,High Yield Bonds
LU0292585030,AXA IM FIIS US Short Dur HY F-C USD,USD,Fund,1.6,0.0250,Fixed Income,USD,High Yield Bonds
CH0011037469,Syngenta AG,CHF,Stock,,0.0100,Equities,Switzerland,
DE0008490145,DWS Zurich Invest Aktien Schweiz,EUR,Fund,,0.0500,Equities,Switzerland,
NL0000303600,ING Grope NV,EUR,Stock,,0.0100,Equities,Euroland,
IE00B60SWX25,Source EURO STOXX 50 UCITS ETF - A,EUR,ETF,,0.0800,Equities,Euroland,
FR0000120271,TOTAL,EUR,Stock,,0.0140,Equities,Euroland,
DE0008404005,Allianz SE,EUR,Stock,,0.0130,Equities,Euroland,
IT0000072618,Intesa Sanpaolo S.p.A.,EUR,Stock,,0.0100,Equities,Euroland,
BE0003793107,Anheuser-Busch INBEV,EUR,Stock,,0.0180,Equities,Euroland,
US4581401001,Intel Corp.,USD,Stock,,0.0100,Equities,US,
US0378331005,Apple Corp,USD,Stock,,0.0300,Equities,US,
US4370761029,Home Depot Inc.,USD,Stock,,0.0150,Equities,US,
US5949181045,Microsoft Corp.,USD,Stock,,0.0140,Equities,US,
US7427181091,Procter & Gamble Company,USD,Stock,,0.0120,Equities,US,
GB00BH4HKS39,Vodafone Group PLC,GBP,Stock,,0.0090,Equities,UK,
IE00B42Z5J44,iSHares MSCI Japan EUR Hedged,EUR,ETF,,0.0300,Equities,Japan,
IE00B5377D42,iSHares MSCI Australia,USD,ETF,,0.0200,Equities,Australia,
LU0040507039,Vontobel Emerging Markets Eq B,USD,Fund,,0.0550,Equities,Emerging Markets,
LU0216734045,AXA WF Frm Europe Real Estate EUR,EUR,Fund,,0.0550,Alternative Investments,Real Estate,Eurozone
LU0462954800,DB Platinum IV Systematic Alpha R1C-E,EUR,Fund,,0.1050,Alternative Investments,Hedge Funds,
LU0239752628,UBS (LUX) Str. SICAV - Rogers Int. Com Idx (CHF),CHF,Fund,,0.0450,Alternative Investments,Commodities,
